Time(s)	Position(mm)
0.0921	47.999966
0.1531	47.999631
0.2148	47.998867
0.2778	47.997817
0.3387	47.996172
0.4025	47.994482
0.4645	47.992021
0.5269	47.989236
0.5890	47.986355
0.6509	47.982563
0.7133	47.979092
0.7760	47.975085
0.8397	47.970276
0.9012	47.964783
0.9640	47.959951
1.0262	47.953630
1.0884	47.947769
1.1503	47.941248
1.2124	47.935378
1.2804	47.928867
1.3390	47.922039
1.4020	47.916147
1.4657	47.910527
1.5281	47.903728
1.5907	47.897207
1.6525	47.891328
1.7151	47.885388
1.7766	47.878867
1.8403	47.872998
1.9035	47.866487
1.9664	47.860598
2.0331	47.853767
2.0917	47.847249
2.1548	47.841318
2.2181	47.834817
2.2812	47.828958
2.3445	47.822158
2.4084	47.815647
2.4716	47.809707
2.5349	47.803176
2.5980	47.797297
2.6609	47.790498
2.7235	47.783977
2.7851	47.778108
2.8483	47.771587
2.9097	47.765637
2.9737	47.758838
3.0377	47.753267
3.1008	47.746477
3.1649	47.740847
3.2256	47.734038
3.2877	47.727207
3.3504	47.721597
3.4126	47.715737
3.4738	47.709229
3.5356	47.703298
3.5989	47.696787
3.6617	47.690928
3.7238	47.684097
3.7867	47.678477
3.8488	47.671687
3.9109	47.665146
3.9734	47.659258
4.0354	47.653386
4.0971	47.646868
4.1592	47.640918
4.2213	47.634397
4.2843	47.628547
4.3452	47.621738
4.4077	47.616138
4.4702	47.609316
4.5318	47.603687
4.5948	47.596848
4.6579	47.591277
4.7206	47.584478
4.7829	47.578547
4.8475	47.572026
4.9115	47.566138
4.9734	47.559636
5.0357	47.552798
5.0989	47.546917
5.1614	47.540388
5.2223	47.534468
5.2839	47.527966
5.3466	47.522078
5.4093	47.516147
5.4722	47.509626
5.5345	47.503738
5.5961	47.497236
5.6582	47.490427
5.7213	47.484539
5.7856	47.478018
5.8484	47.472068
5.9104	47.465557
5.9729	47.459697
6.0357	47.452888
6.0993	47.447278
6.1623	47.440457
6.2231	47.433928
6.2843	47.428008
6.3468	47.422427
6.4090	47.415627
6.4702	47.409697
6.5325	47.403167
6.5962	47.397288
6.6586	47.390767
6.7220	47.384836
6.7849	47.378027
6.8479	47.372407
